O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
2,S. KATHIRAVAN,Dravida Munnetra Kazhagam,114451,1883,116334,59.14,Manachanallur,144,144-2,Tiruchirappalli,General,1,M
3,M. PARANJOTHI,All India Anna Dravida Munnetra Kazhagam,56366,350,56716,28.83,Manachanallur,144,144-3,Tiruchirappalli,General,2,M
4,C. ARULMANI,Akila India Vallalar Peravai,379,0,379,0.19,Manachanallur,144,144-4,Tiruchirappalli,General,10,M
5,M. RAJASEKHARN,Amma Makkal Munnettra Kazagam,1619,12,1631,0.83,Manachanallur,144,144-5,Tiruchirappalli,General,5,M
6,Dr. KRISHNASAMY. V,Naam Tamilar Katchi,14361,82,14443,7.34,Manachanallur,144,144-6,Tiruchirappalli,General,3,M
7,K. GURUNATHAN,Samaniya Makkal Nala Katchi,103,0,103,0.05,Manachanallur,144,144-7,Tiruchirappalli,General,23,M
8,R. SAMSON,Makkal Needhi Maiam,1975,21,1996,1.01,Manachanallur,144,144-8,Tiruchirappalli,General,4,M
9,M. DHINAKARAN,Puthiya Tamilagam,155,3,158,0.08,Manachanallur,144,144-9,Tiruchirappalli,General,18,M
10,T. RENGARAJ,Tamil Nadu Ilangyar Katchi,240,0,240,0.12,Manachanallur,144,144-10,Tiruchirappalli,General,11,M
11,S. ROHINI,Makkal Munnetra Peravai,89,2,91,0.05,Manachanallur,144,144-11,Tiruchirappalli,General,25,F
12,P. JAGADEESAN,My India Party,110,2,112,0.06,Manachanallur,144,144-12,Tiruchirappalli,General,20,M
13,P. RAMALINGAM,Independent,107,2,109,0.06,Manachanallur,144,144-13,Tiruchirappalli,General,22,M
14,R. RAJASEHAR,Independent,135,2,137,0.07,Manachanallur,144,144-14,Tiruchirappalli,General,19,M
15,K.R.ELAIYARAJA,Independent,237,0,237,0.12,Manachanallur,144,144-15,Tiruchirappalli,General,12,M
16,V. GOPALAKRISHNAN,Independent,206,0,206,0.1,Manachanallur,144,144-16,Tiruchirappalli,General,14,M
17,R. SUDHA,Independent,158,3,161,0.08,Manachanallur,144,144-17,Tiruchirappalli,General,17,F
18,V.M. SELVARAJ,Independent,576,1,577,0.29,Manachanallur,144,144-18,Tiruchirappalli,General,7,M
19,P. NEELAMEGAM,Independent,192,0,192,0.1,Manachanallur,144,144-19,Tiruchirappalli,General,15,M
20,S. PUGAZHENTHI,Independent,166,2,168,0.09,Manachanallur,144,144-20,Tiruchirappalli,General,16,M
21,P. MACHAVALLAVAN,Independent,38,0,38,0.02,Manachanallur,144,144-21,Tiruchirappalli,General,30,M
22,K. MANIMARABOOPATHI,Independent,61,0,61,0.03,Manachanallur,144,144-22,Tiruchirappalli,General,27,M
23,A.C. MANOHARAN,Independent,43,0,43,0.02,Manachanallur,144,144-23,Tiruchirappalli,General,29,M
24,S. MANOJ KUMAR,Independent,55,0,55,0.03,Manachanallur,144,144-24,Tiruchirappalli,General,28,M
25,V. MUTHUSAMY,Independent,100,0,100,0.05,Manachanallur,144,144-25,Tiruchirappalli,General,24,M
26,N. MOHAN,Independent,91,0,91,0.05,Manachanallur,144,144-26,Tiruchirappalli,General,26,M
27,K. RAJINIKANTH,Independent,110,0,110,0.06,Manachanallur,144,144-27,Tiruchirappalli,General,21,M
28,P. RAJARAM,Independent,482,0,482,0.25,Manachanallur,144,144-28,Tiruchirappalli,General,8,M
29,V. RAJU,Independent,230,1,231,0.12,Manachanallur,144,144-29,Tiruchirappalli,General,13,M
30,NOTA,None of the Above,1055,12,1067,0.54,Manachanallur,144,144-30,Tiruchirappalli,General,6,Not Applicable
1,Kumar.K.S,Desiya Murpokku Dravida Kazhagam,3153,29,3182,1.77,Musiri,145,145-1,Tiruchirappalli,General,4,M
2,M. Selvarasu,All India Anna Dravida Munnetra Kazhagam,63179,609,63788,35.5,Musiri,145,145-2,Tiruchirappalli,General,2,M
3,N. Thiyagarajan,Dravida Munnetra Kazhagam,88487,2137,90624,50.43,Musiri,145,145-3,Tiruchirappalli,General,1,M
4,V. Bernardshaw,Bahujan Samaj Party,458,0,458,0.25,Musiri,145,145-4,Tiruchirappalli,General,10,M
5,S. Gokul,Makkal Needhi Maiam,2467,32,2499,1.39,Musiri,145,145-5,Tiruchirappalli,General,5,M
6,Gautham. S,Rashtriya Samaj Paksha,251,2,253,0.14,Musiri,145,145-6,Tiruchirappalli,General,14,M
7,D. Dharmalingam,Samaniya Makkal Nala Katchi,109,1,110,0.06,Musiri,145,145-7,Tiruchirappalli,General,19,M
8,Sridevi Ilangovan,Naam Tamilar Katchi,14207,104,14311,7.96,Musiri,145,145-8,Tiruchirappalli,General,3,F
9,N. Aravan,Independent,108,0,108,0.06,Musiri,145,145-9,Tiruchirappalli,General,20,M
10,R. Anandhan,Independent,103,1,104,0.06,Musiri,145,145-10,Tiruchirappalli,General,21,M
